"7d. U.S. Regional Electricity Generation, Electric Power Sector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/outlooks/steo/data/browser/#/?v=22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Oct 06 2023 21:29:10 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remove,,map,linechart,units,source key,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Nonhydro renewables ,Electric power sector generation by non-hydropower renewables,1,1,billion kilowatthours,RNEPGEN_NY,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.45,4.56,4.72,5.41,5.95,5.86,5.88,6.15,6.03,6.52,6.93,6.77,8.2,9.46,10.98
Other energy sources ,Electric power sector generation by other energy sources: New York (NYISO),1,1,billion kilowatthours,XXEPGEN_NY,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.21,1.46,0.84,1.18,2.3,2.1,0.81,0.84,1.87,0.9,0.75,1.04,2.17,0.97,1.39
Total generation,Total electric power sector net generation: New York (NYISO),1,1,billion kilowatthours,TOEPGEN_NY,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,139.85,140.17,138.27,139.02,140.84,141.99,138.17,131.53,136.61,135.62,132.87,129.05,129.55,126.98,128.44
Net energy for load ,Net energy for load: New York (NYISO),1,1,billion kilowatthours,ELLOAD_NY,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,163.5,163.33,162.84,163.52,160.03,161.57,160.8,156.37,161.12,155.83,150.2,151.98,152.68,148.29,155.37
Mid-Atlantic (PJM),Mid-Atlantic (PJM),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural gas,Electric power sector generation by natural gas: Mid-Atlantic (PJM),1,1,billion kilowatthours,NGEPGEN_PJ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,88.18,106.99,148.94,129.84,137.18,178.68,208.97,209.48,254.06,298.59,318.77,312.58,334.75,369.21,363.94
Coal,Electric power sector generation by coal: Mid-Atlantic (PJM),1,1,billion kilowatthours,CLEPGEN_PJ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,455.38,414.78,348.1,362.79,357.22,292.1,269.44,244.69,226.51,183.29,147.95,174.69,156.8,103.11,103.4
Nuclear,Electric power sector generation by nuclear: Mid-Atlantic (PJM),1,1,billion kilowatthours,NUEPGEN_PJ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,270.19,269.1,272.42,277.02,277.49,278.16,279.17,287.02,285.38,277.92,275.75,271.69,270.59,272.96,274.06
Conventional hydropower,Electric power sector generation by conventional hydropower: Mid-Atlantic (PJM),1,1,billion kilowatthours,HVEPGEN_PJ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.73,8.93,6.78,8.01,7.31,7.54,7.9,8.35,11.87,10.23,9.37,9.77,8.58,7.92,9.01
Nonhydro renewables ,Electric power sector generation by non-hydropower renewables,1,1,billion kilowatthours,RNEPGEN_PJ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.24,16.39,18.98,22.52,24.04,25.56,27.2,30.22,31.83,34.68,37.77,42.96,48.45,48.64,59.06
Other energy sources ,Electric power sector generation by other energy sources: Mid-Atlantic (PJM),1,1,billion kilowatthours,XXEPGEN_PJ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.76,2.83,2.39,2.99,4.77,4.59,2.74,2.32,4,2.29,2.44,2.71,2.6,1.38,1.89
Total generation,Total electric power sector net generation: Mid-Atlantic (PJM),1,1,billion kilowatthours,TOEPGEN_PJ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,839.49,819.02,797.61,803.17,808.01,786.63,795.43,782.08,813.66,807,792.04,814.39,821.77,803.21,811.35
Net energy for load ,Net energy for load: Mid-Atlantic (PJM),1,1,billion kilowatthours,ELLOAD_PJ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,807.18,793.77,781.89,791.8,798.2,791.2,792.72,774.06,807.09,787.21,757.28,782.68,795.12,771.56,782.53
Southeast (SERC),Southeast (SERC),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural gas,Electric power sector generation by natural gas: Southeast (SERC),1,1,billion kilowatthours,NGEPGEN_SE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,109.15,126.84,173.44,156.36,164.54,211.98,227.01,220.8,244.6,252.35,254.46,250.55,280.61,287.14,312.09
Coal,Electric power sector generation by coal: Southeast (SERC),1,1,billion kilowatthours,CLEPGEN_SE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,361.04,318.84,264.1,255.5,275.5,230.07,215.31,190.91,185.5,159.83,118.28,137.65,125.14,103.2,92.67
Nuclear,Electric power sector generation by nuclear: Southeast (SERC),1,1,billion kilowatthours,NUEPGEN_SE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,191.92,192.01,190.42,196.71,194.87,196,202.57,204.9,204.8,210.99,210.14,212.21,209.04,217.7,227.38
Conventional hydropower,Electric power sector generation by conventional hydropower: Southeast (SERC),1,1,billion kilowatthours,HVEPGEN_SE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29.09,29.07,24.05,39.7,31.14,32.4,25.62,28.77,37.18,37,46.12,36.98,32.65,31.37,37.51
Nonhydro renewables ,Electric power sector generation by non-hydropower renewables,1,1,billion kilowatthours,RNEPGEN_SE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.74,1.98,2.43,2.96,3.98,4.44,6.73,10.09,11.47,13.4,16.66,19.09,23.35,25.33,29.53
Other energy sources ,Electric power sector generation by other energy sources: Southeast (SERC),1,1,billion kilowatthours,XXEPGEN_SE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.89,-1.39,-1.11,-0.42,-0.61,-0.87,-1.63,-2.05,-0.13,-1.28,-1.13,-1,-1.22,-1.37,-1.76
Total generation,Total electric power sector net generation: Southeast (SERC),1,1,billion kilowatthours,TOEPGEN_SE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,692.06,667.35,653.32,650.8,669.42,674.02,675.61,653.41,683.43,672.3,644.54,655.47,669.57,663.37,697.42
Net energy for load ,Net energy for load: Southeast (SERC),1,1,billion kilowatthours,ELLOAD_SE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,657.76,631.17,619.12,616.61,628.24,622.33,625.42,608.51,638.64,627.52,599.42,621.07,636.74,623.9,655.89
Florida (FRCC),Florida (FRCC),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural gas,Electric power sector generation by natural gas: Florida (FRCC),1,1,billion kilowatthours,NGEPGEN_FL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,124.17,130.66,143.17,133.51,134.58,150.06,151.97,154.38,164.84,174.9,180.79,173.74,185,191.18,182.57
